label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,0.000000,0.000000,0.205533,-0.073997,0.365615,-0.369661,0.402596,-0.729753,0.430818,-0.972838,0.286324,-0.716125,0.265074,-0.979414,0.244116,-0.717149,0.251832,-0.581280,0.154569,-0.746699,0.138513,-1.000000,0.133275,-0.660213,0.152241,-0.553204,0.027933,-0.739377,0.007541,-0.953326,0.018684,-0.614897,0.043738,-0.509002,-0.107036,-0.697988,-0.114605,-0.855214,-0.089161,-0.615117,-0.064776,-0.518124
A,0.000000,0.000000,0.205481,-0.074076,0.366711,-0.366336,0.406286,-0.723522,0.433517,-0.971072,0.290675,-0.715672,0.265851,-0.980446,0.242544,-0.722333,0.252637,-0.582741,0.158429,-0.747463,0.138998,-1.000000,0.131241,-0.660548,0.154254,-0.544635,0.031235,-0.743742,0.008265,-0.963469,0.017396,-0.627306,0.046131,-0.510683,-0.103113,-0.705804,-0.112762,-0.866640,-0.089350,-0.626360,-0.062835,-0.523035
A,0.000000,0.000000,0.204309,-0.070627,0.365529,-0.368619,0.401766,-0.733912,0.430554,-0.983230,0.287456,-0.722330,0.258518,-0.980121,0.238061,-0.722251,0.251291,-0.584191,0.154736,-0.753564,0.132076,-1.000000,0.126656,-0.661581,0.152510,-0.548527,0.027143,-0.747760,0.001956,-0.960409,0.012870,-0.627053,0.045080,-0.514853,-0.106948,-0.708278,-0.118507,-0.860051,-0.094660,-0.625075,-0.065935,-0.528792
A,0.000000,0.000000,0.202859,-0.071752,0.362307,-0.369263,0.396582,-0.732330,0.424837,-0.980714,0.284973,-0.721742,0.256874,-0.977670,0.235483,-0.717387,0.247948,-0.579276,0.153456,-0.751835,0.131287,-1.000000,0.126187,-0.661127,0.150899,-0.543700,0.027514,-0.744973,0.000897,-0.956420,0.013313,-0.623868,0.045405,-0.507315,-0.104537,-0.703772,-0.117376,-0.855564,-0.091988,-0.619342,-0.062365,-0.518496
A,0.000000,0.000000,0.203691,-0.076130,0.361782,-0.374388,0.392874,-0.736010,0.422720,-0.984107,0.283093,-0.722943,0.255926,-0.980270,0.234039,-0.723766,0.245950,-0.581826,0.151748,-0.751464,0.129227,-1.000000,0.123428,-0.663336,0.148692,-0.540757,0.025966,-0.744405,-0.000933,-0.956204,0.010418,-0.624278,0.042459,-0.504926,-0.106409,-0.702059,-0.119744,-0.857068,-0.095566,-0.620862,-0.066107,-0.518531
A,0.000000,0.000000,0.205780,-0.079576,0.362347,-0.378390,0.393588,-0.741778,0.422453,-0.991550,0.283745,-0.727027,0.250859,-0.981870,0.232736,-0.722889,0.248160,-0.585222,0.151303,-0.755156,0.123944,-1.000000,0.122811,-0.662000,0.151369,-0.547895,0.024954,-0.747898,-0.006276,-0.958043,0.009191,-0.625319,0.044411,-0.512027,-0.107206,-0.705275,-0.124146,-0.852265,-0.096594,-0.616277,-0.063364,-0.519672
A,0.000000,0.000000,0.202171,-0.078871,0.356684,-0.382209,0.387057,-0.746068,0.413878,-0.995220,0.278580,-0.734242,0.246959,-0.988740,0.228820,-0.727415,0.242709,-0.590545,0.147021,-0.761206,0.119074,-1.000000,0.119104,-0.660924,0.147848,-0.553554,0.021249,-0.750739,-0.011549,-0.956267,0.005109,-0.623265,0.041463,-0.518101,-0.110237,-0.706276,-0.128403,-0.847758,-0.100368,-0.612096,-0.067391,-0.520535
A,0.000000,0.000000,0.201827,-0.080480,0.355358,-0.382800,0.385282,-0.745020,0.412176,-0.993846,0.277538,-0.736428,0.243966,-0.991121,0.227248,-0.732127,0.241868,-0.595622,0.145079,-0.762360,0.116382,-1.000000,0.117562,-0.661054,0.146011,-0.552865,0.018810,-0.750673,-0.013267,-0.956664,0.003903,-0.624305,0.039308,-0.516873,-0.113010,-0.703596,-0.130530,-0.850827,-0.101928,-0.614520,-0.069724,-0.519913
A,0.000000,0.000000,0.201963,-0.073345,0.358102,-0.380135,0.388433,-0.748368,0.414257,-0.996715,0.279059,-0.733608,0.245493,-0.990644,0.227684,-0.730211,0.243371,-0.594395,0.145248,-0.758548,0.116122,-1.000000,0.117603,-0.659647,0.146752,-0.549857,0.018546,-0.747045,-0.014028,-0.956794,0.003904,-0.621406,0.039801,-0.511196,-0.113335,-0.702373,-0.132365,-0.851165,-0.103791,-0.613257,-0.070419,-0.517424
A,0.000000,0.000000,0.198931,-0.081440,0.352260,-0.380630,0.382298,-0.744490,0.406145,-0.994640,0.273918,-0.735069,0.240789,-0.988198,0.222437,-0.729663,0.236147,-0.593778,0.142812,-0.759010,0.113036,-1.000000,0.114889,-0.661637,0.143697,-0.552593,0.017833,-0.746394,-0.016235,-0.950201,0.002767,-0.619752,0.039459,-0.514767,-0.111539,-0.697920,-0.131700,-0.842769,-0.101577,-0.609146,-0.066851,-0.517985
A,0.000000,0.000000,0.199641,-0.082279,0.353324,-0.384407,0.383280,-0.750504,0.408478,-0.999512,0.275389,-0.737710,0.240766,-0.988647,0.223337,-0.726359,0.237740,-0.594114,0.143907,-0.761446,0.114021,-1.000000,0.115716,-0.657679,0.143575,-0.554596,0.019077,-0.749471,-0.015677,-0.949833,0.002363,-0.616551,0.038017,-0.516952,-0.110703,-0.704420,-0.130557,-0.844417,-0.102524,-0.608258,-0.069576,-0.522337
A,0.000000,0.000000,0.200958,-0.075420,0.356489,-0.381910,0.386540,-0.750749,0.411910,-0.999524,0.276349,-0.736833,0.242519,-0.990724,0.225724,-0.725221,0.240044,-0.594136,0.143994,-0.760087,0.114258,-1.000000,0.117025,-0.656248,0.144058,-0.555579,0.018821,-0.748358,-0.015845,-0.951805,0.003032,-0.615365,0.037683,-0.517028,-0.111580,-0.704167,-0.131887,-0.845934,-0.103371,-0.608043,-0.071113,-0.521367
A,0.000000,0.000000,0.199740,-0.080866,0.354018,-0.385549,0.383581,-0.750684,0.407970,-1.000000,0.273355,-0.738615,0.239255,-0.988360,0.222300,-0.724126,0.236896,-0.596639,0.142654,-0.762307,0.111901,-0.998034,0.115158,-0.657810,0.143249,-0.558114,0.018826,-0.749648,-0.016851,-0.948602,0.003117,-0.615920,0.039931,-0.519139,-0.110127,-0.702864,-0.131748,-0.840920,-0.101363,-0.606048,-0.067057,-0.520253
A,0.000000,0.000000,0.199641,-0.075973,0.354727,-0.384932,0.384326,-0.750770,0.407436,-1.000000,0.273602,-0.739505,0.239179,-0.988502,0.222315,-0.723544,0.236536,-0.592635,0.142201,-0.761443,0.111052,-0.997755,0.114461,-0.654411,0.142660,-0.548564,0.018286,-0.747986,-0.017716,-0.947459,0.002725,-0.613469,0.038908,-0.512303,-0.110264,-0.700714,-0.131860,-0.840457,-0.101827,-0.604814,-0.068276,-0.517842
A,0.000000,0.000000,0.200160,-0.071017,0.354632,-0.380915,0.384203,-0.749638,0.406693,-1.000000,0.274671,-0.736360,0.238425,-0.987250,0.221694,-0.724195,0.237982,-0.593843,0.141505,-0.759639,0.109897,-0.997566,0.112350,-0.656283,0.141128,-0.551935,0.015440,-0.747537,-0.019082,-0.953638,-0.000063,-0.618764,0.035756,-0.513939,-0.115572,-0.702309,-0.134910,-0.842757,-0.105957,-0.607711,-0.073483,-0.518867
A,0.000000,0.000000,0.197202,-0.079862,0.350135,-0.385117,0.378166,-0.750328,0.400594,-1.000000,0.269004,-0.737271,0.232433,-0.983045,0.215942,-0.718296,0.232385,-0.594946,0.137762,-0.759815,0.105498,-0.993042,0.109376,-0.651904,0.138574,-0.555285,0.013443,-0.746417,-0.022004,-0.942225,-0.001172,-0.610968,0.037078,-0.515828,-0.114266,-0.700091,-0.135808,-0.832715,-0.105069,-0.601643,-0.070598,-0.519984
